FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,TRACT,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,H0010001,H0010002,H0010003
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Census Tract,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,Institutionalized population:,Correctional facilities for adults,Juvenile facilities,Nursing facilities/Skilled-nursing facilities,Other institutional facilities,Noninstitutionalized population:,College/University student housing,Military quarters,Other noninstitutional facilities,Total:,Occupied,Vacant
PLST,MA,140,1400000US25025060101,25025060101,1,1,25,25,,60101,3673,3400,15,128,55,2,0,6,67,3314,3072,15,109,54,0,0,6,58,0,0,0,0,0,0,0,0,0,0,1880,1770,110
PLST,MA,140,1400000US25025060200,25025060200,1,1,25,25,,60200,2328,2149,7,81,29,1,0,7,54,2123,1976,7,65,28,0,0,7,40,3,0,0,0,0,0,3,0,0,3,1119,1043,76
PLST,MA,140,1400000US25025060301,25025060301,1,1,25,25,,60301,3609,3368,32,89,45,0,0,18,57,3278,3089,23,69,42,0,0,11,44,49,0,0,0,0,0,49,0,0,49,1829,1704,125
PLST,MA,140,1400000US25025060400,25025060400,1,1,25,25,,60400,5195,4740,27,181,104,6,0,12,125,4801,4407,22,156,103,6,0,12,95,0,0,0,0,0,0,0,0,0,0,2708,2506,202
PLST,MA,140,1400000US25025060501,25025060501,1,1,25,25,,60501,4733,4167,31,184,207,2,2,18,122,4312,3858,27,141,178,2,1,18,87,0,0,0,0,0,0,0,0,0,0,2450,2291,159
PLST,MA,140,1400000US25025060601,25025060601,1,1,25,25,,60601,2006,1661,44,86,150,1,0,8,56,1856,1562,44,67,134,1,0,7,41,5,0,0,0,0,0,5,0,0,5,1165,1087,78
PLST,MA,140,1400000US25025060602,25025060602,1,1,25,25,,60602,331,265,10,10,33,2,0,0,11,312,255,9,9,29,2,0,0,8,0,0,0,0,0,0,0,0,0,0,246,214,32
PLST,MA,140,1400000US25025060603,25025060603,1,1,25,25,,60603,1502,1152,44,83,134,0,1,7,81,1417,1112,40,68,130,0,1,6,60,0,0,0,0,0,0,0,0,0,0,1185,910,275
PLST,MA,140,1400000US25025060604,25025060604,1,1,25,25,,60604,2803,2110,95,176,250,0,0,56,116,2678,2058,80,153,237,0,0,56,94,0,0,0,0,0,0,0,0,0,0,2517,1888,629
PLST,MA,140,1400000US25025060700,25025060700,1,1,25,25,,60700,1689,229,341,831,142,3,4,37,102,1165,187,223,537,115,1,3,25,74,0,0,0,0,0,0,0,0,0,0,604,590,14
PLST,MA,140,1400000US25025060800,25025060800,1,1,25,25,,60800,4859,4201,45,233,247,11,1,13,108,4502,3938,38,194,221,11,1,8,91,36,36,0,36,0,0,0,0,0,0,2536,2381,155
PLST,MA,140,1400000US25025061000,25025061000,1,1,25,25,,61000,2416,1168,334,634,164,0,0,22,94,1933,1071,206,430,150,0,0,10,66,0,0,0,0,0,0,0,0,0,0,1101,1036,65
PLST,MA,140,1400000US25025061101,25025061101,1,1,25,25,,61101,2710,516,518,1127,388,12,0,37,112,1990,440,352,770,339,4,0,25,60,20,20,0,20,0,0,0,0,0,0,1266,1214,52
PLST,MA,140,1400000US25025061201,25025061201,1,1,25,25,,61201,2013,1567,65,132,170,0,0,7,72,1882,1483,59,122,152,0,0,7,59,68,0,0,0,0,0,68,0,0,68,1038,976,62
PLST,MA,140,1400000US25025061202,25025061202,1,1,25,25,,61202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLST,MA,140,1400000US25025061203,25025061203,1,1,25,25,,61203,2686,1973,70,181,369,0,0,6,87,2458,1847,68,139,329,0,0,6,69,188,188,0,0,188,0,0,0,0,0,1444,1363,81
PLST,MA,140,1400000US25025061204,25025061204,1,1,25,25,,61204,937,787,11,45,64,0,0,3,27,876,745,9,40,61,0,0,0,21,0,0,0,0,0,0,0,0,0,0,673,611,62
PLST,MA,140,1400000US25025070102,25025070102,1,1,25,25,,70102,3687,2194,232,353,745,7,4,20,132,3537,2120,232,337,717,7,4,20,100,1600,0,0,0,0,0,1600,1081,0,519,1649,1223,426
PLST,MA,140,1400000US25025070103,25025070103,1,1,25,25,,70103,751,236,68,68,369,0,0,0,10,623,210,52,47,305,0,0,0,9,0,0,0,0,0,0,0,0,0,0,379,348,31
PLST,MA,140,1400000US25025070104,25025070104,1,1,25,25,,70104,2862,1852,51,144,667,2,0,16,130,2576,1712,51,129,592,2,0,11,79,116,0,0,0,0,0,116,0,0,116,1716,1492,224
PLST,MA,140,1400000US25025070201,25025070201,1,1,25,25,,70201,3990,2230,179,261,1264,0,0,12,44,3859,2198,169,247,1198,0,0,12,35,2203,321,0,0,321,0,1882,1868,0,14,1089,1018,71
PLST,MA,140,1400000US25025070202,25025070202,1,1,25,25,,70202,5460,1608,186,383,3107,2,4,16,154,4854,1531,164,343,2662,2,4,16,132,446,0,0,0,0,0,446,443,0,3,2893,2589,304
PLST,MA,140,1400000US25025070301,25025070301,1,1,25,25,,70301,2213,1687,50,163,207,0,0,13,93,1999,1554,48,141,186,0,0,12,58,0,0,0,0,0,0,0,0,0,0,1359,1283,76
PLST,MA,140,1400000US25025070302,25025070302,1,1,25,25,,70302,2090,1426,55,105,426,0,1,13,64,1911,1324,49,75,410,0,1,13,39,20,0,0,0,0,0,20,0,0,20,1398,1182,216
PLST,MA,140,1400000US25025070402,25025070402,1,1,25,25,,70402,3561,1473,374,278,1308,3,0,22,103,3251,1415,286,243,1201,1,0,19,86,0,0,0,0,0,0,0,0,0,0,2178,2009,169
PLST,MA,140,1400000US25025070501,25025070501,1,1,25,25,,70501,2223,1621,58,197,272,5,0,7,63,1975,1458,55,175,242,5,0,7,33,26,0,0,0,0,0,26,0,0,26,1261,1191,70
PLST,MA,140,1400000US25025070502,25025070502,1,1,25,25,,70502,3393,1544,254,865,629,3,1,15,82,2907,1402,219,660,554,0,1,12,59,18,0,0,0,0,0,18,0,0,18,1844,1735,109
PLST,MA,140,1400000US25025070600,25025070600,1,1,25,25,,70600,2287,1805,99,131,127,1,0,9,115,2001,1612,83,102,117,1,0,9,77,52,0,0,0,0,0,52,0,0,52,1260,1151,109
PLST,MA,140,1400000US25025070700,25025070700,1,1,25,25,,70700,2527,1372,486,239,265,10,0,31,124,2166,1235,392,190,234,10,0,31,74,5,0,0,0,0,0,5,0,0,5,1336,1271,65
PLST,MA,140,1400000US25025070801,25025070801,1,1,25,25,,70801,1056,571,174,96,142,0,1,6,66,953,547,136,70,137,0,1,6,56,0,0,0,0,0,0,0,0,0,0,607,549,58
PLST,MA,140,1400000US25025070802,25025070802,1,1,25,25,,70802,2685,1702,363,266,218,6,1,17,112,2404,1535,314,230,213,6,1,10,95,19,0,0,0,0,0,19,0,0,19,1538,1461,77
PLST,MA,140,1400000US25025070901,25025070901,1,1,25,25,,70901,1165,291,303,400,113,0,0,12,46,953,267,244,294,108,0,0,12,28,15,15,0,15,0,0,0,0,0,0,568,547,21
PLST,MA,140,1400000US25025070902,25025070902,1,1,25,25,,70902,2300,1203,331,398,239,2,0,7,120,2007,1108,285,298,221,1,0,7,87,14,0,0,0,0,0,14,0,0,14,1253,1192,61
PLST,MA,140,1400000US25025071101,25025071101,1,1,25,25,,71101,4111,2077,596,547,679,16,5,33,158,3744,1942,513,461,651,16,5,33,123,373,61,16,0,0,45,312,0,0,312,2272,2132,140
PLST,MA,140,1400000US25025071201,25025071201,1,1,25,25,,71201,3514,1452,593,809,497,4,0,29,130,2950,1323,463,600,438,4,0,21,101,277,0,0,0,0,0,277,0,0,277,1899,1545,354
PLST,MA,140,1400000US25025080100,25025080100,1,1,25,25,,80100,2900,572,1012,796,46,2,1,114,357,2486,566,883,631,37,0,1,89,279,993,730,726,4,0,0,263,0,0,263,861,749,112
