,area,city code,use internet at home,household id,household size,employment,education, hispanic,race,internet service provider,high-speed service,satellite,dial-up,other internet service,mobile data plan internet,dont need internet,cant afford internet,internet not available in area,no device for internet,no internet for other reason,internet comm with doctor,research health info online,electronic health monitoring,access health records online,would buy internet if lower price,use internet for online classes,state,county
76,0,0,1,310008051832797,2,1,38,2,1,1,2,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
77,16980,0,1,785840216051001,1,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,2,17,0
78,16980,0,1,817585401600102,1,1,42,2,1,5,2,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,0
79,16980,0,1,001175001410496,5,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,17,0
80,16980,0,1,001175001410496,5,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,2,-1,1,17,0
81,16980,0,1,001175001410496,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,17,0
82,16980,0,1,001175001410496,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,17,0
83,16980,0,1,001175001410496,5,-1,-1,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,17,0
84,16980,0,1,013017442102751,1,5,41,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,2,17,0
85,16980,0,1,701675006910055,3,1,39,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,97
86,16980,0,1,701675006910055,3,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,17,97
87,16980,0,1,701675006910055,3,1,44,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,97
88,16980,0,1,107600613014704,2,1,40,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,2,17,97
89,16980,0,1,107600613014704,2,1,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,2,2,1,-1,-1,17,97
90,16980,0,1,910003951533327,6,7,37,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,2,17,111
91,16980,0,1,910003951533327,6,-1,-1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,111
92,16980,0,1,910003951533327,6,-1,-1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,111
93,16980,0,1,910003951533327,6,-1,-1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,111
94,16980,0,1,910003951533327,6,-1,-1,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,111
95,16980,0,1,910003951533327,6,1,33,1,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,2,2,2,-1,-1,17,111
96,14010,0,1,503107683710550,1,5,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,1,1,2,1,-1,2,17,0
97,14010,0,1,671705150305308,2,1,43,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,-1,17,0
98,14010,0,1,671705150305308,2,1,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,2,-1,2,17,0
99,14010,0,1,010710358076553,2,1,42,2,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,2,1,2,1,-1,-1,17,0
